,time,axial_force,vibration1,vibration2,vibration_x,vibration_y,force_z,tool_wear,ACTION_CODE,RUL
0,0,236.85,-1.127,-0.5693,-1.127,-0.5693,236.85,0.067334848,0,0.245413209
1,50,308.63,6.8597,7.6366,6.8597,7.6366,308.63,0.067861795,0,0.244886262
2,100,35.887,-2.502,-1.758,-2.502,-1.758,35.887,0.068390555,0,0.244357502
3,150,351.69,2.1358,2.8773,2.1358,2.8773,351.69,0.068921135,0,0.243826922
4,200,150.73,1.864,2.5232,1.864,2.5232,150.73,0.069453539,0,0.243294518
5,250,-93.306,-0.0315,0.5095,-0.0315,0.5095,-93.306,0.069987771,0,0.242760286
6,300,136.37,8.256,8.9968,8.256,8.9968,136.37,0.070523832,0,0.242224225
7,350,179.43,0.1086,0.6888,0.1086,0.6888,179.43,0.07106172,0,0.241686337
8,400,-64.597,-6.2031,-5.5412,-6.2031,-5.5412,-64.597,0.07160143,0,0.241146627
9,450,380.4,-1.064,-0.5076,-1.064,-0.5076,380.4,0.072142957,0,0.2406051
10,500,-78.951,4.7708,5.3761,4.7708,5.3761,-78.951,0.072686291,0,0.240061766
11,550,150.73,5.272,6.0187,5.272,6.0187,150.73,0.073231419,0,0.239516638
12,600,265.56,-2.9268,-2.362,-2.9268,-2.362,265.56,0.073778327,0,0.23896973
13,650,222.5,3.1414,3.7903,3.1414,3.7903,222.5,0.074326994,0,0.238421063
14,700,423.47,0.32,0.951,0.32,0.951,423.47,0.0748774,0,0.237870657
15,750,394.76,-2.7848,-2.2585,-2.7848,-2.2585,394.76,0.075429518,0,0.237318539
16,800,523.95,1.3712,1.961,1.3712,1.961,523.95,0.075983321,0,0.236764736
17,850,107.66,-7.314,-6.7614,-7.314,-6.7614,107.66,0.076538776,0,0.236209281
18,900,308.63,-6.4382,-5.7436,-6.4382,-5.7436,308.63,0.077095848,0,0.235652209
19,950,409.11,-1.1154,-0.5507,-1.1154,-0.5507,409.11,0.077654498,0,0.235093559
20,1000,251.21,4.4701,5.0979,4.4701,5.0979,251.21,0.078214686,0,0.234533371
21,1050,179.43,0.0765,0.6715,0.0765,0.6715,179.43,0.078776367,0,0.23397169
22,1100,-35.887,0.9349,1.5556,0.9349,1.5556,-35.887,0.079339492,0,0.233408565
23,1150,78.951,-0.1536,0.4652,-0.1536,0.4652,78.951,0.079904013,0,0.232844044
24,1200,193.79,-5.6691,-5.0124,-5.6691,-5.0124,193.79,0.080469876,0,0.232278181
25,1250,294.27,-3.169,-2.6241,-3.169,-2.6241,294.27,0.081037026,0,0.231711031
26,1300,107.66,1.3133,1.8987,1.3133,1.8987,107.66,0.081605406,0,0.231142651
27,1350,165.08,1.0229,1.6269,1.0229,1.6269,165.08,0.082174958,0,0.230573099
28,1400,179.43,2.5605,3.2686,2.5605,3.2686,179.43,0.08274562,0,0.230002437
29,1450,78.951,9.8681,10.635,9.8681,10.635,78.951,0.08331733,0,0.229430727
30,1500,222.5,-5.4455,-4.7188,-5.4455,-4.7188,222.5,0.083890025,0,0.228858032
31,1550,129.19,-6.9246,-6.4652,-6.9246,-6.4652,129.19,0.084456753,0,0.228291304
32,1600,100.48,5.5888,6.3129,5.5888,6.3129,100.48,0.085031218,0,0.227716839
33,1650,258.39,-3.3393,-2.8227,-3.3393,-2.8227,258.39,0.085606476,0,0.227141581
34,1700,-129.19,-5.0838,-4.6134,-5.0838,-4.6134,-129.19,0.086182463,0,0.226565594
35,1750,-57.419,-0.3836,0.2339,-0.3836,0.2339,-57.419,0.086759116,0,0.225988941
36,1800,43.064,-5.3472,-4.855,-5.3472,-4.855,43.064,0.087336373,0,0.225411684
37,1850,358.87,2.2579,2.8792,2.2579,2.8792,358.87,0.08791417,0,0.224833887
38,1900,315.81,4.1778,4.8518,4.1778,4.8518,315.81,0.088492448,0,0.224255609
39,1950,43.064,3.4401,4.2767,3.4401,4.2767,43.064,0.089071148,0,0.223676909
40,2000,344.52,-1.9398,-1.3924,-1.9398,-1.3924,344.52,0.089650211,0,0.223097846
41,2050,14.355,-3.2937,-2.6505,-3.2937,-2.6505,14.355,0.090229582,0,0.222518475
42,2100,401.93,-3.7447,-3.2114,-3.7447,-3.2114,401.93,0.090809206,0,0.221938851
43,2150,459.35,-4.7149,-3.9773,-4.7149,-3.9773,459.35,0.09138903,0,0.221359027
44,2200,-129.19,4.2369,5.1435,4.2369,5.1435,-129.19,0.091969002,0,0.220779055
45,2250,215.32,4.2523,4.9398,4.2523,4.9398,215.32,0.092549069,0,0.220198988
46,2300,-157.9,-1.8788,-1.3268,-1.8788,-1.3268,-157.9,0.09312918,0,0.219618877
47,2350,100.48,-1.0403,-0.4389,-1.0403,-0.4389,100.48,0.093709284,0,0.219038773
48,2400,358.87,-2.3421,-1.7927,-2.3421,-1.7927,358.87,0.094289326,0,0.218458731
49,2450,28.71,3.1902,3.8996,3.1902,3.8996,28.71,0.09486925,0,0.217878807
50,2500,186.61,4.3924,5.0754,4.3924,5.0754,186.61,0.095448997,0,0.21729906
51,2550,244.03,6.0566,6.9176,6.0566,6.9176,244.03,0.096028502,0,0.216719555
52,2600,416.29,3.4761,4.3815,3.4761,4.3815,416.29,0.096607694,0,0.216140363
53,2650,531.13,3.3341,4.2414,3.3341,4.2414,531.13,0.097186495,0,0.215561562
54,2700,86.129,19.341,20.392,19.341,20.392,86.129,0.097764819,0,0.214983238
55,2750,358.87,3.4954,4.3962,3.4954,4.3962,358.87,0.098342566,0,0.214405491
56,2800,315.81,4.5948,5.3395,4.5948,5.3395,315.81,0.098919628,0,0.213828429
57,2850,401.93,-4.3603,-3.613,-4.3603,-3.613,401.93,0.099495879,0,0.213252178
58,2900,258.39,2.0311,2.6248,2.0311,2.6248,258.39,0.100071177,0,0.21267688
59,2950,315.81,1.2921,1.9231,1.2921,1.9231,315.81,0.100645359,0,0.212102698
60,3000,301.45,1.2015,1.8248,1.2015,1.8248,301.45,0.101218241,0,0.211529816
61,3050,43.064,2.9897,3.5468,2.9897,3.5468,43.064,0.101782765,0,0.210965292
62,3100,-244.03,-0.6329,-0.0983,-0.6329,-0.0983,-244.03,0.102352406,0,0.210395651
63,3150,143.55,-2.3857,-1.8936,-2.3857,-1.8936,143.55,0.102920025,0,0.209828032
64,3200,229.68,3.3836,3.976,3.3836,3.976,229.68,0.103485318,0,0.209262739
65,3250,488.06,1.2632,1.8409,1.2632,1.8409,488.06,0.104047941,0,0.208700116
66,3300,473.71,2.8458,3.4048,2.8458,3.4048,473.71,0.104607516,0,0.208140541
67,3350,229.68,2.522,3.0758,2.522,3.0758,229.68,0.105163635,0,0.207584422
68,3400,114.84,2.1602,2.7571,2.1602,2.7571,114.84,0.105715867,0,0.20703219
69,3450,-114.84,1.6867,2.2894,1.6867,2.2894,-114.84,0.106263777,0,0.20648428
70,3500,-86.129,-4.7721,-4.305,-4.7721,-4.305,-86.129,0.106806952,0,0.205941105
71,3550,186.61,3.8706,4.528,3.8706,4.528,186.61,0.107345049,0,0.205403008
72,3600,86.129,3.3598,3.9966,3.3598,3.9966,86.129,0.107877859,0,0.204870198
73,3650,373.22,3.5597,4.1604,3.5597,4.1604,373.22,0.1084054,0,0.204342657
74,3700,373.22,-0.036,0.5018,-0.036,0.5018,373.22,0.108928026,0,0.203820031
75,3750,186.61,-1.553,-0.9349,-1.553,-0.9349,186.61,0.109446539,0,0.203301518
76,3800,373.22,5.015,5.7128,5.015,5.7128,373.22,0.10995909,0,0.202788967
77,3850,86.129,0.3155,0.9124,0.3155,0.9124,86.129,0.110467003,0,0.202281054
78,3900,57.419,-1.9186,-1.4014,-1.9186,-1.4014,57.419,0.110975871,0,0.201772186
79,3950,315.81,4.5974,5.2296,4.5974,5.2296,315.81,0.111487429,0,0.201260628
80,4000,229.68,-6.2506,-5.6061,-6.2506,-5.6061,229.68,0.112003536,0,0.200744521
81,4050,244.03,-3.2731,-2.7835,-3.2731,-2.7835,244.03,0.112526207,0,0.20022185
82,4100,215.32,3.401,4.0364,3.401,4.0364,215.32,0.11305764,0,0.199690417
83,4150,-28.71,-6.3129,-5.8516,-6.3129,-5.8516,-28.71,0.11360025,0,0.199147807
84,4200,186.61,-1.296,-0.7775,-1.296,-0.7775,186.61,0.114156706,0,0.198591351
85,4250,43.064,4.8293,5.4172,4.8293,5.4172,43.064,0.114729961,0,0.198018096
86,4300,416.29,-2.619,-2.0966,-2.619,-2.0966,416.29,0.115323295,0,0.197424762
87,4350,157.9,5.0503,5.7661,5.0503,5.7661,157.9,0.115940343,0,0.196807714
88,4400,301.45,4.2067,5.0336,4.2067,5.0336,301.45,0.11658513,0,0.196162927
89,4450,574.19,0.2442,0.8488,0.2442,0.8488,574.19,0.117262081,0,0.195485976
90,4500,401.93,2.3286,2.9897,2.3286,2.9897,401.93,0.117976022,0,0.194772035
91,4550,71.774,2.2521,2.8201,2.2521,2.8201,71.774,0.118732141,0,0.194015916
92,4600,71.774,-5.6441,-5.0304,-5.6441,-5.0304,71.774,0.119524116,0,0.193223941
93,4650,215.32,6.0688,6.8758,6.0688,6.8758,215.32,0.120380397,0,0.19236766
94,4700,100.48,0.6213,1.197,0.6213,1.197,100.48,0.12129523,0,0.191452827
95,4750,272.74,-7.0788,-6.5443,-7.0788,-6.5443,272.74,0.122273428,0,0.190474629
96,4800,330.16,6.1947,6.9516,6.1947,6.9516,330.16,0.123318615,0,0.189429442
97,4850,100.48,9.978,10.779,9.978,10.779,100.48,0.124432413,0,0.188315644
98,4900,157.9,-6.9176,-6.3052,-6.9176,-6.3052,157.9,0.125613445,0,0.187134612
99,4950,-14.355,-4.9732,-4.4226,-4.9732,-4.4226,-14.355,0.126856213,0,0.185891844
100,5000,-129.19,-6.4742,-6.0187,-6.4742,-6.0187,-129.19,0.128150015,0,0.184598042
101,5050,244.03,8.3639,9.0489,8.3639,9.0489,244.03,0.129478158,0,0.183269899
102,5100,129.19,-3.9233,-3.2275,-3.9233,-3.2275,129.19,0.130817809,0,0.181930248
103,5150,114.84,2.0131,2.635,2.0131,2.635,114.84,0.132140826,0,0.180607231
104,5200,57.419,-0.4472,0.1645,-0.4472,0.1645,57.419,0.133415765,0,0.179332292
105,5250,57.419,4.792,5.396,4.792,5.396,57.419,0.13461095,0,0.178137107
106,5300,-43.064,3.9143,4.5293,3.9143,4.5293,-43.064,0.135697444,0,0.177050613
107,5350,157.9,-0.5057,0.1426,-0.5057,0.1426,157.9,0.136655205,0,0.176092852
108,5400,344.52,3.4626,4.2909,3.4626,4.2909,344.52,0.137471176,0,0.175276881
109,5450,57.419,-1.2478,-0.7106,-1.2478,-0.7106,57.419,0.13814281,0,0.174605247
110,5500,330.16,1.7792,2.3343,1.7792,2.3343,330.16,0.138676088,0,0.174071969
111,5550,502.42,4.4406,5.0613,4.4406,5.0613,502.42,0.139083348,0,0.173664709
112,5600,358.87,-4.8396,-4.2195,-4.8396,-4.2195,358.87,0.139380789,0,0.173367268
113,5650,-186.61,-0.9445,-0.4331,-0.9445,-0.4331,-186.61,0.139586137,0,0.17316192
114,5700,57.419,-3.0238,-2.3992,-3.0238,-2.3992,57.419,0.139716841,0,0.173031216
115,5750,57.419,1.7252,2.3202,1.7252,2.3202,57.419,0.139788924,0,0.172959133
116,5800,0,-4.8595,-4.1836,-4.8595,-4.1836,0,0.139816441,0,0.172931616
117,5850,416.29,-2.2097,-1.6545,-2.2097,-1.6545,416.29,0.139811424,0,0.172936633
118,5900,200.97,-4.3712,-3.7331,-4.3712,-3.7331,200.97,0.139784119,0,0.172963938
119,5950,43.064,-0.3964,0.1844,-0.3964,0.1844,43.064,0.139743382,0,0.173004675
120,6000,-143.55,1.952,2.5213,1.952,2.5213,-143.55,0.139697099,0,0.173050958
121,6050,244.03,11.721,12.473,11.721,12.473,244.03,0.139652528,0,0.173095529
122,6100,-215.32,-4.6456,-4.1643,-4.6456,-4.1643,-215.32,0.139616518,0,0.173131539
123,6150,287.1,0.2782,0.8224,0.2782,0.8224,287.1,0.139595655,0,0.173152402
124,6200,-172.26,-1.7297,-1.0486,-1.7297,-1.0486,-172.26,0.139595792,0,0.173152265
125,6250,258.39,-0.1439,0.4607,-0.1439,0.4607,258.39,0.13962246,0,0.173125597
126,6300,-14.355,-4.961,-4.4611,-4.961,-4.4611,-14.355,0.139680193,0,0.173067864
127,6350,-43.064,0.4511,0.9908,0.4511,0.9908,-43.064,0.139772397,0,0.17297566
128,6400,43.064,2.8644,3.5108,2.8644,3.5108,43.064,0.139901185,0,0.172846872
129,6450,229.68,4.4072,5.0259,4.4072,5.0259,229.68,0.140067321,0,0.172680736
130,6500,-186.61,3.1722,4.003,3.1722,4.003,-186.61,0.140270294,0,0.172477763
131,6550,-14.355,-0.9844,-0.4588,-0.9844,-0.4588,-14.355,0.140508483,0,0.172239574
132,6600,14.355,2.8837,3.6682,2.8837,3.6682,14.355,0.140779395,0,0.171968662
133,6650,-14.355,2.6447,3.1979,2.6447,3.1979,-14.355,0.141079925,0,0.171668132
134,6700,229.68,2.6428,3.2885,2.6428,3.2885,229.68,0.141406613,0,0.171341444
135,6750,-86.129,2.1621,2.9576,2.1621,2.9576,-86.129,0.141755865,0,0.170992192
136,6800,229.68,0.5931,1.1482,0.5931,1.1482,229.68,0.142124138,0,0.170623919
137,6850,57.419,-5.5605,-4.9096,-5.5605,-4.9096,57.419,0.142508873,0,0.170239184
138,6900,100.48,-0.8957,-0.356,-0.8957,-0.356,100.48,0.142905389,0,0.169842668
139,6950,244.03,0.4112,0.9959,0.4112,0.9959,244.03,0.143311718,0,0.169436339
140,7000,57.419,-1.3898,-0.8584,-1.3898,-0.8584,57.419,0.143725464,0,0.169022593
141,7050,-28.71,-1.3744,-0.7922,-1.3744,-0.7922,-28.71,0.144144604,0,0.168603453
142,7100,143.55,6.4138,7.2382,6.4138,7.2382,143.55,0.144567476,0,0.168180581
143,7150,-157.9,-2.5991,-1.864,-2.5991,-1.864,-157.9,0.144992759,0,0.167755298
144,7200,186.61,0.5121,1.1251,0.5121,1.1251,186.61,0.145419435,0,0.167328622
145,7250,43.064,1.4451,2.0413,1.4451,2.0413,43.064,0.145846755,0,0.166901302
146,7300,43.064,6.1375,6.8604,6.1375,6.8604,43.064,0.146274197,0,0.16647386
147,7350,-401.93,-1.5575,-1.0114,-1.5575,-1.0114,-401.93,0.146701433,0,0.166046624
148,7400,301.45,3.108,3.9002,3.108,3.9002,301.45,0.147128293,0,0.165619764
149,7450,-100.48,2.3954,2.9672,2.3954,2.9672,-100.48,0.147554737,0,0.16519332
150,7500,344.52,3.3663,3.9702,3.3663,3.9702,344.52,0.14798083,0,0.164767227
151,7550,114.84,1.2221,1.7895,1.2221,1.7895,114.84,0.148406718,0,0.164341339
152,7600,-86.129,-4.943,-4.4637,-4.943,-4.4637,-86.129,0.148832609,0,0.163915448
153,7650,-114.84,-4.0743,-3.3637,-4.0743,-3.3637,-114.84,0.149255516,0,0.163492541
154,7700,-43.064,-3.7447,-3.0379,-3.7447,-3.0379,-43.064,0.149682198,0,0.163065859
155,7750,330.16,-5.5978,-5.1191,-5.5978,-5.1191,330.16,0.150109715,0,0.162638342
156,7800,0,-2.0169,-1.3204,-2.0169,-1.3204,0,0.150538371,0,0.162209686
157,7850,186.61,-0.7569,-0.1831,-0.7569,-0.1831,186.61,0.150968462,0,0.161779595
158,7900,-129.19,-4.2298,-3.7614,-4.2298,-3.7614,-129.19,0.151400263,0,0.161347794
159,7950,244.03,1.9745,2.6081,1.9745,2.6081,244.03,0.151834024,0,0.160914033
160,8000,143.55,2.8175,3.6162,2.8175,3.6162,143.55,0.152269956,0,0.160478101
161,8050,157.9,4.6288,5.3588,4.6288,5.3588,157.9,0.152708226,0,0.160039831
162,8100,330.16,-2.6222,-2.1017,-2.6222,-2.1017,330.16,0.15314895,0,0.159599107
163,8150,-287.1,-0.2628,0.3817,-0.2628,0.3817,-287.1,0.153592192,0,0.159155865
164,8200,-157.9,-0.9953,-0.4517,-0.9953,-0.4517,-157.9,0.154037954,0,0.158710103
165,8250,-100.48,1.3545,1.9797,1.3545,1.9797,-100.48,0.154486183,0,0.158261874
166,8300,186.61,3.4588,4.1277,3.4588,4.1277,186.61,0.15493677,0,0.157811287
167,8350,-215.32,-0.683,-0.0161,-0.683,-0.0161,-215.32,0.155390392,0,0.157357665
168,8400,143.55,-5.8432,-5.2393,-5.8432,-5.2393,143.55,0.155844267,0,0.15690379
169,8450,129.19,5.5188,6.2435,5.5188,6.2435,129.19,0.156300791,0,0.156447266
170,8500,86.129,-1.7329,-1.1636,-1.7329,-1.1636,86.129,0.156758846,0,0.155989211
171,8550,186.61,1.4843,2.0735,1.4843,2.0735,186.61,0.157218244,0,0.155529813
172,8600,-71.774,-5.096,-4.483,-5.096,-4.483,-71.774,0.157678838,0,0.155069219
173,8650,287.1,0.7614,1.3166,0.7614,1.3166,287.1,0.158140526,0,0.154607531
174,8700,143.55,3.1716,3.7428,3.1716,3.7428,143.55,0.158603251,0,0.154144806
175,8750,215.32,11.199,12.01,11.199,12.01,215.32,0.159067005,0,0.153681052
176,8800,157.9,9.3656,10.223,9.3656,10.223,157.9,0.159531829,0,0.153216228
177,8850,-114.84,3.2262,3.8726,3.2262,3.8726,-114.84,0.15999781,0,0.152750247
178,8900,330.16,-3.6207,-3.1311,-3.6207,-3.1311,330.16,0.160465081,0,0.152282976
179,8950,287.1,-8.6364,-8.1994,-8.6364,-8.1994,287.1,0.16093382,0,0.151814237
180,9000,86.129,8.4918,9.4357,8.4918,9.4357,86.129,0.161404247,0,0.15134381
181,9050,473.71,-6.8822,-6.4286,-6.8822,-6.4286,473.71,0.16187662,0,0.150871437
182,9100,-28.71,-7.2934,-6.7942,-7.2934,-6.7942,-28.71,0.162351226,0,0.150396831
183,9150,-143.55,-0.0835,0.4607,-0.0835,0.4607,-143.55,0.162827106,0,0.149920951
184,9200,-100.48,4.3879,5.0285,4.3879,5.0285,-100.48,0.163307076,0,0.149440981
185,9250,344.52,3.5976,4.3326,3.5976,4.3326,344.52,0.16379018,0,0.148957877
186,9300,272.74,3.7878,4.6533,3.7878,4.6533,272.74,0.164276684,0,0.148471373
187,9350,143.55,-3.4324,-2.9107,-3.4324,-2.9107,143.55,0.16476683,0,0.147981227
188,9400,57.419,3.4318,4.1341,3.4318,4.1341,57.419,0.165260833,0,0.147487224
189,9450,344.52,-6.7364,-6.2879,-6.7364,-6.2879,344.52,0.165758887,0,0.14698917
190,9500,86.129,-2.058,-1.4258,-2.058,-1.4258,86.129,0.166261171,0,0.146486886
191,9550,358.87,5.166,6.0424,5.166,6.0424,358.87,0.166767852,0,0.145980205
192,9600,244.03,-3.4524,-2.9216,-3.4524,-2.9216,244.03,0.167279086,0,0.145468971
193,9650,-57.419,5.2078,5.8336,5.2078,5.8336,-57.419,0.167795016,0,0.144953041
194,9700,-86.129,-3.8302,-3.3502,-3.8302,-3.3502,-86.129,0.168315759,0,0.144432298
195,9750,143.55,-0.9208,-0.3836,-0.9208,-0.3836,143.55,0.168841403,0,0.143906654
196,9800,-57.419,-6.0758,-5.6042,-6.0758,-5.6042,-57.419,0.169371982,0,0.143376075
197,9850,-71.774,-7.0653,-6.6278,-7.0653,-6.6278,-71.774,0.169907463,0,0.142840594
198,9900,172.26,2.1441,2.7481,2.1441,2.7481,172.26,0.170447711,0,0.142300346
199,9950,358.87,1.1296,1.7201,1.1296,1.7201,358.87,0.170992552,0,0.141755505
200,10000,287.1,-1.519,-0.9812,-1.519,-0.9812,287.1,0.171541604,0,0.141206453
201,10050,-229.68,8.9647,9.7987,8.9647,9.7987,-229.68,0.172094379,0,0.140653678
202,10100,57.419,4.2118,5.094,4.2118,5.094,57.419,0.172650247,0,0.14009781
203,10150,-315.81,3.9927,4.7015,3.9927,4.7015,-315.81,0.173208437,0,0.13953962
204,10200,-387.58,-1.1791,-0.6438,-1.1791,-0.6438,-387.58,0.173768051,0,0.138980006
205,10250,258.39,3.9028,4.6025,3.9028,4.6025,258.39,0.174328099,0,0.138419958
206,10300,387.58,-0.6361,-0.0681,-0.6361,-0.0681,387.58,0.174887526,0,0.137860531
207,10350,531.13,5.1956,5.8336,5.1956,5.8336,531.13,0.175445266,0,0.137302791
208,10400,143.55,-6.6554,-6.1722,-6.6554,-6.1722,143.55,0.17600028,0,0.136747777
209,10450,114.84,1.6147,2.2392,1.6147,2.2392,114.84,0.176551607,0,0.13619645
210,10500,200.97,-2.157,-1.6333,-2.157,-1.6333,200.97,0.177098402,0,0.135649655
211,10550,445,3.1208,3.8469,3.1208,3.8469,445,0.177639968,0,0.135108089
212,10600,-143.55,1.7875,2.3999,1.7875,2.3999,-143.55,0.178175777,0,0.13457228
213,10650,244.03,4.5948,5.2418,4.5948,5.2418,244.03,0.178705479,0,0.134042578
214,10700,0,1.2812,1.8871,1.2812,1.8871,0,0.179227257,0,0.1335208
215,10750,129.19,5.9338,6.631,5.9338,6.631,129.19,0.179744397,0,0.13300366
216,10800,157.9,0.7659,1.3937,0.7659,1.3937,157.9,0.180255354,0,0.132492703
217,10850,-57.419,2.371,3.0238,2.371,3.0238,-57.419,0.180760355,0,0.131987702
218,10900,244.03,1.0248,1.6301,1.0248,1.6301,244.03,0.181259716,0,0.131488341
219,10950,387.58,1.2183,1.7805,1.2183,1.7805,387.58,0.181753811,0,0.130994246
220,11000,344.52,4.1103,4.7786,4.1103,4.7786,344.52,0.182243049,0,0.130505008
221,11050,143.55,-4.2793,-3.5738,-4.2793,-3.5738,143.55,0.182727856,0,0.130020201
222,11100,215.32,4.1861,4.8968,4.1861,4.8968,215.32,0.183208658,0,0.129539399
223,11150,244.03,2.9576,3.8527,2.9576,3.8527,244.03,0.183685864,0,0.129062193
224,11200,301.45,1.3198,1.9752,1.3198,1.9752,301.45,0.184159864,0,0.128588193
225,11250,401.93,-0.6682,-0.0617,-0.6682,-0.0617,401.93,0.184631018,0,0.128117039
226,11300,373.22,4.012,4.6847,4.012,4.6847,373.22,0.185099654,0,0.127648403
227,11350,14.355,0.9227,1.5543,0.9227,1.5543,14.355,0.185566068,0,0.127181989
228,11400,330.16,1.954,2.5791,1.954,2.5791,330.16,0.186030522,0,0.126717535
229,11450,-143.55,3.106,3.7042,3.106,3.7042,-143.55,0.186493248,0,0.126254809
230,11500,0,4.2163,4.8229,4.2163,4.8229,0,0.186954448,0,0.125793609
231,11550,-43.064,-2.7513,-2.2232,-2.7513,-2.2232,-43.064,0.187414342,0,0.125333715
232,11600,-473.71,7.2247,8.1538,7.2247,8.1538,-473.71,0.187872994,0,0.124875063
233,11650,28.71,-4.6083,-3.9259,-4.6083,-3.9259,28.71,0.188330581,0,0.124417476
234,11700,330.16,1.1225,1.6873,1.1225,1.6873,330.16,0.188787231,0,0.123960826
235,11750,330.16,3.4793,4.2857,3.4793,4.2857,330.16,0.189243066,0,0.123504991
236,11800,473.71,0.7845,1.3371,0.7845,1.3371,473.71,0.189698208,0,0.123049849
237,11850,272.74,-2.946,-2.4249,-2.946,-2.4249,272.74,0.190152777,0,0.12259528
238,11900,71.774,1.1591,1.7856,1.1591,1.7856,71.774,0.1906069,0,0.122141157
239,11950,200.97,4.0949,4.7355,4.0949,4.7355,200.97,0.191060708,0,0.121687349
240,12000,-28.71,-1.1193,-0.5815,-1.1193,-0.5815,-28.71,0.191514336,0,0.121233721
241,12050,-71.774,4.9443,5.5618,4.9443,5.5618,-71.774,0.191967929,0,0.120780128
242,12100,86.129,-0.8019,-0.2647,-0.8019,-0.2647,86.129,0.192421631,0,0.120326426
243,12150,-43.064,4.67,5.3523,4.67,5.3523,-43.064,0.192875592,0,0.119872465
244,12200,315.81,6.5886,7.4342,6.5886,7.4342,315.81,0.193321744,0,0.119426313
245,12250,14.355,0.818,1.3603,0.818,1.3603,14.355,0.193776649,0,0.118971408
246,12300,143.55,4.0011,4.8261,4.0011,4.8261,143.55,0.194232226,0,0.118515831
247,12350,-215.32,0.2159,0.8244,0.2159,0.8244,-215.32,0.194688585,0,0.118059472
248,12400,186.61,0.7331,1.2664,0.7331,1.2664,186.61,0.195145813,0,0.117602244
249,12450,100.48,5.9987,6.6483,5.9987,6.6483,100.48,0.195603972,0,0.117144085
250,12500,258.39,2.6434,3.3283,2.6434,3.3283,258.39,0.196063095,0,0.116684962
